typeCode,freqCode,refYear,refMonth,period,reporterDesc,flowDesc,partnerDesc,cmdCode,netWgt,primaryValue
C,A,2022,52,2022,Barbados,Export,World,121190,96,2062.5
C,A,2022,52,2022,Belgium,Export,World,121190,947524.7,11552379.37
C,A,2022,52,2022,Bhutan,Export,World,121190,,2712749.403
C,A,2022,52,2022,Bolivia (Plurinational State of),Export,World,121190,557463.01,2005869.56
C,A,2022,52,2022,Bosnia Herzegovina,Export,World,121190,535107.65,4051454.39
C,A,2022,52,2022,Botswana,Export,World,121190,88201.4,492727.703
C,A,2022,52,2022,Brazil,Export,World,121190,1737885.038,14343631
C,A,2022,52,2022,Belize,Export,World,121190,162.147,1264.97
C,A,2022,52,2022,Brunei Darussalam,Export,World,121190,11.41,126.726
C,A,2022,52,2022,Bulgaria,Export,World,121190,6463140.428,29905088.79
C,A,2022,52,2022,Myanmar,Export,World,121190,32339694.42,24746711.42
C,A,2022,52,2022,Cambodia,Export,World,121190,22225,41950
C,A,2022,52,2022,Cameroon,Export,World,121190,643570,396815.674
C,A,2022,52,2022,Canada,Export,World,121190,1574287.61,114488129.3
C,A,2022,52,2022,Sri Lanka,Export,World,121190,2078043.93,15064962.78
C,A,2022,52,2022,Chile,Export,World,121190,7972106.22,45762185.96
C,A,2022,52,2022,China,Export,World,121190,138533653,887314130
C,A,2022,52,2022,Colombia,Export,World,121190,,41181929.74
C,A,2022,52,2022,Dem. Rep. of the Congo,Export,World,121190,8085360,13952553.17
C,A,2022,52,2022,Costa Rica,Export,World,121190,99851.355,1632836.06
C,A,2022,52,2022,Croatia,Export,World,121190,6911562.193,29488318
C,A,2022,52,2022,Cuba,Export,World,121190,50,55.14
C,A,2022,52,2022,Cyprus,Export,World,121190,3384,15697.796
C,A,2022,52,2022,Czechia,Export,World,121190,3106069.187,29213401
C,A,2022,52,2022,Benin,Export,World,121190,27823,23109.971
C,A,2022,52,2022,Denmark,Export,World,121190,276528.002,20351536.35
C,A,2022,52,2022,Dominica,Export,World,121190,1,15.926
C,A,2022,52,2022,Dominican Rep.,Export,World,121190,1222351.099,1195809.53
C,A,2022,52,2022,Ecuador,Export,World,121190,354828.5,2718165.5
C,A,2022,52,2022,El Salvador,Export,World,121190,21681.15,332211.64
C,A,2022,52,2022,Ethiopia,Export,World,121190,846919.82,4374829.771
C,A,2022,52,2022,Estonia,Export,World,121190,94180.57,1830969.66
C,A,2022,52,2022,Fiji,Export,World,121190,502578.1,18758491.36
C,A,2022,52,2022,Finland,Export,World,121190,6027.387,133478.126
C,A,2022,52,2022,France,Export,World,121190,7753694.924,64057352.53
C,A,2022,52,2022,French Polynesia,Export,World,121190,1536,48892.92
C,A,2022,52,2022,Djibouti,Export,World,121190,26208,35220.693
C,A,2022,52,2022,Gabon,Export,World,121190,119,339.056
C,A,2022,52,2022,Georgia,Export,World,121190,963369.74,2850854.765
C,A,2022,52,2022,State of Palestine,Export,World,121190,332430.696,2183490.247
C,A,2022,52,2022,Germany,Export,World,121190,25715677.51,230706539.6
C,A,2022,52,2022,Ghana,Export,World,121190,236831.759,390173.238
C,A,2022,52,2022,Greece,Export,World,121190,2019792,8232231.885
C,A,2022,52,2022,Guatemala,Export,World,121190,2238462,7561872
C,A,2022,52,2022,Guyana,Export,World,121190,6047.9,19124.765
C,A,2022,52,2022,"China, Hong Kong SAR",Export,World,121190,4172348.788,41327293.46
C,A,2022,52,2022,Hungary,Export,World,121190,1177089.545,5214948
C,A,2022,52,2022,Iceland,Export,World,121190,309.762,923.736
C,A,2022,52,2022,Indonesia,Export,World,121190,17520069.96,46824705.67
C,A,2022,52,2022,Iran,Export,World,121190,2653469,4824086
C,A,2022,52,2022,Ireland,Export,World,121190,83626,1195774.629
C,A,2022,52,2022,Israel,Export,World,121190,438472.49,2880000
C,A,2022,52,2022,Italy,Export,World,121190,4112333,36244103.65
C,A,2022,52,2022,Côte d'Ivoire,Export,World,121190,241026,2069812.426
C,A,2022,52,2022,Jamaica,Export,World,121190,396937.92,1587957.52
C,A,2022,52,2022,Japan,Export,World,121190,65624,1509998.485
C,A,2022,52,2022,Kazakhstan,Export,World,121190,5021825.5,1216455.82
C,A,2022,52,2022,Jordan,Export,World,121190,68678.494,451097.999
C,A,2022,52,2022,Kenya,Export,World,121190,11238894.88,37349916.49
C,A,2022,52,2022,Rep. of Korea,Export,World,121190,383278.259,12045612
C,A,2022,52,2022,Kuwait,Export,World,121190,44077.092,289509.667
C,A,2022,52,2022,Kyrgyzstan,Export,World,121190,203238,1681058
C,A,2022,52,2022,Lao People's Dem. Rep.,Export,World,121190,6405246.7,5012265.47
C,A,2022,52,2022,Lebanon,Export,World,121190,567581,1123472
C,A,2022,52,2022,Lesotho,Export,World,121190,693508.6,2211286.368
C,A,2022,52,2022,Latvia,Export,World,121190,2700691.66,17370309.89
C,A,2022,52,2022,Lithuania,Export,World,121190,332176.899,3418472
C,A,2022,52,2022,Luxembourg,Export,World,121190,35823.492,12654513.67
C,A,2022,52,2022,"China, Macao SAR",Export,World,121190,940,483635.742
C,A,2022,52,2022,Madagascar,Export,World,121190,1824359.83,9700533.85
C,A,2022,52,2022,Malawi,Export,World,121190,12968.9,3923.065
C,A,2022,52,2022,Malaysia,Export,World,121190,599494.17,5372600.854
C,A,2022,52,2022,Mali,Export,World,121190,2381,727.691
C,A,2022,52,2022,Malta,Export,World,121190,16,85115.815
C,A,2022,52,2022,Mauritius,Export,World,121190,40345,45191.584
C,A,2022,52,2022,Mexico,Export,World,121190,8513489.046,55918784
C,A,2022,52,2022,"Other Asia, nes",Export,World,121190,666085.44,6506540.67
C,A,2022,52,2022,Mongolia,Export,World,121190,54910,286218.528
C,A,2022,52,2022,Rep. of Moldova,Export,World,121190,88582.218,662101
C,A,2022,52,2022,Montenegro,Export,World,121190,114644.7,461617.591
C,A,2022,52,2022,Morocco,Export,World,121190,26430982.96,64934309.73
C,A,2022,52,2022,Mozambique,Export,World,121190,26421,198650.82
C,A,2022,52,2022,Oman,Export,World,121190,23111.115,151799.74
